Sex,Pclass_1,Pclass_2,Pclass_3,AgeMissed,age_norn,has_sibsp,sibsp_norm,has_parch,parch_norm,fare_norm,fare_high,fare_low,fare_mid,hascabin,Embarked_C,Embarked_Q,Embarked_S
1,False,False,True,0,0.45272319662402744,0,0.0,0,0.0,0.015281580671177828,False,False,True,0,False,True,False
0,False,False,True,0,0.6175656072794409,1,0.125,0,0.0,0.013663090060062943,False,True,False,0,False,False,True
1,False,True,False,0,0.815376500065937,0,0.0,0,0.0,0.018908740708122825,False,False,True,0,False,True,False
1,False,False,True,0,0.3538177502307794,0,0.0,0,0.0,0.016908073949327893,False,False,True,0,False,False,True
0,False,False,True,0,0.287880785968614,1,0.125,1,0.1111111111111111,0.023983602730431916,False,False,True,0,False,False,True
1,False,False,True,0,0.18238164314914942,0,0.0,0,0.0,0.01800600082915438,False,False,True,0,False,False,True
0,False,False,True,0,0.3933799287880786,0,0.0,0,0.0,0.014891206669461744,False,True,False,0,False,True,False
1,False,True,False,0,0.3406303573783463,1,0.125,1,0.1111111111111111,0.056604230248832196,False,False,True,0,False,False,True
0,False,False,True,0,0.2351312145588817,0,0.0,0,0.0,0.014110458666029575,False,True,False,0,True,False,False
1,False,False,True,0,0.2746933931161809,1,0.25,0,0.0,0.04713766070721715,False,False,True,0,False,False,True
1,False,False,True,1,0.39697468497225086,0,0.0,0,0.0,0.015411575213749284,False,False,True,0,False,False,True
1,True,False,False,0,0.6043782144270078,0,0.0,0,0.0,0.050748620223090936,False,False,True,0,False,False,True
0,True,False,False,0,0.3010681788210471,1,0.125,0,0.0,0.16057390443488287,True,False,False,1,False,False,True
1,False,True,False,0,0.8285638929183701,1,0.125,0,0.0,0.050748620223090936,False,False,True,0,False,False,True
0,True,False,False,0,0.6175656072794409,1,0.125,0,0.0,0.11940564777490723,True,False,False,1,False,False,True
0,False,True,False,0,0.3142555716734801,1,0.125,0,0.0,0.05410739813385612,False,False,True,0,True,False,False
1,False,True,False,0,0.459316893050244,0,0.0,0,0.0,0.024105594605968193,False,False,True,0,False,True,False
1,False,False,True,0,0.2746933931161809,0,0.0,0,0.0,0.014102260811993537,False,True,False,0,True,False,False
0,False,False,True,0,0.3538177502307794,1,0.125,0,0.0,0.015468569817999833,False,False,True,0,False,False,True
0,False,False,True,0,0.5911908215745747,0,0.0,0,0.0,0.014102260811993537,False,True,False,0,True,False,False
1,True,False,False,0,0.7230647500989055,1,0.125,0,0.0,0.11594107850967697,True,False,False,0,True,False,False
1,False,False,True,0,0.11644467888698405,0,0.0,1,0.1111111111111111,0.006188989423206797,False,True,False,0,False,False,True
0,True,False,False,1,0.39697468497225086,0,0.0,0,0.0,0.06184168304285603,False,False,True,0,False,False,True
1,True,False,False,0,0.2746933931161809,0,0.0,1,0.1111111111111111,0.11980421963065935,True,False,False,0,True,False,False
0,True,False,False,0,0.630753000131874,1,0.125,1,0.3333333333333333,0.5121218935012878,True,False,False,1,True,False,False
1,False,False,True,0,0.65712778583674,1,0.125,0,0.0,0.028302115124416098,False,False,True,0,False,False,True
0,True,False,False,0,0.287880785968614,0,0.0,1,0.1111111111111111,0.1209753416358076,True,False,False,1,True,False,False
1,False,False,True,0,0.29447448239483054,0,0.0,0,0.0,0.014102260811993537,False,True,False,0,True,False,False
1,True,False,False,0,0.5384412501648425,0,0.0,0,0.0,0.05953203526170282,False,False,True,1,False,False,True
1,False,False,True,1,0.39697468497225086,1,0.25,0,0.0,0.04231498029001666,False,False,True,0,True,False,False
1,False,True,False,0,0.65712778583674,1,0.125,0,0.0,0.050748620223090936,False,False,True,0,False,False,True
1,False,True,False,0,0.3142555716734801,1,0.25,0,0.0,0.061483905270283246,False,False,True,0,False,False,True
0,False,False,True,0,0.4329421073453778,1,0.125,1,0.2222222222222222,0.04015972542654215,False,False,True,0,False,False,True
0,False,False,True,1,0.39697468497225086,1,0.125,1,0.2222222222222222,0.04577135170121086,False,False,True,0,False,False,True
1,True,False,False,0,0.3933799287880786,1,0.125,0,0.0,0.11272049299551928,True,False,False,1,True,False,False
1,False,False,True,0,0.24172491098509824,0,0.0,0,0.0,0.014110458666029575,False,True,False,0,True,False,False
0,False,False,True,1,0.39697468497225086,0,0.0,0,0.0,0.015712553569072387,False,False,True,0,False,False,True
0,False,False,True,0,0.2746933931161809,0,0.0,0,0.0,0.016908073949327893,False,False,True,0,False,False,True
1,False,False,True,0,0.3274429645259132,0,0.0,0,0.0,0.018542765081513996,False,False,True,0,False,False,True
1,False,False,True,1,0.39697468497225086,0,0.0,0,0.0,0.11027245763075773,True,False,False,0,False,False,True
